Novosibirsk,Russia,Novosibirsk Metro,1986,2010,14,15.9 km (9.9 mi),77.3 (2022)
Saint Petersburg,Russia,Saint Petersburg Metro,1955,2019,72,124.8 km (77.5 mi),649.0 (2022)
Samara,Russia,Samara Metro,1987,2015,10,11.6 km (7.2 mi),11.2 (2022)
Yekaterinburg,Russia,Yekaterinburg Metro,1991,2012,9,12.7 km (7.9 mi),38.9 (2022)
Singapore,Singapore,Mass Rapid Transit,1987,2022,134,230.2 km (143.0 mi),766.5 (2021)
Barcelona,Spain,Barcelona Metro,1924,2021,132,128.3 km (79.7 mi),217.93 (2019)
Bilbao,Spain,Metro Bilbao,1995,2020,42,45.1 km (28.0 mi),91.6 (2019)
Madrid,Spain,Madrid Metro,1919,2019,242,293.9 km (182.6 mi),447.8 (2021)
Stockholm,Sweden,Stockholm Metro,1950,1994,100,108 km (67 mi),355 (2018)
Lausanne,Switzerland,Lausanne Métro,2008,–,14,5.9 km (3.7 mi),32.8 (2019)
Kaohsiung,Taiwan,Kaohsiung Metro,2008,2012,37,42.7 km (26.5 mi),65.4 (2019)
Taipei,Taiwan,Taipei Metro,1996,2020,119,146.2 km (90.8 mi),695.7 (2020)
Taichung,Taiwan,Taichung Metro,2021,–,18,16.7 km (10.4 mi),-
Taoyuan,Taiwan,Taoyuan Metro,2017,–,22,53.1 km (33.0 mi),28.0 (2019)
Bangkok,Thailand,BTS Skytrain,1999,2021,60,68.2 km (42.4 mi),236.9 (2020)
Bangkok,Thailand,Metropolitan Rapid Transit,2004,2019,53,71 km (44 mi),95.3 (2020)
Adana,Turkey,Adana Metro,2009,2010,13,13.9 km (8.6 mi),14 (2011)
Ankara,Turkey,Ankara Metro,1997,2023,57,67.4 km (41.9 mi),66.4 (2020)
Bursa,Turkey,Bursaray,2002,2014,39,38.9 km (24.2 mi),91.3 (2010)
Istanbul,Turkey,Istanbul Metro,1989,2023,128,199.2 km (123.8 mi),757 (2022)
İzmir,Turkey,İzmir Metro,2000,2014,17,20 km (12 mi),100 (2019)
Dnipro,Ukraine,Dnipro Metro,1995,–,6,7.8 km (4.8 mi),7.5 (2022)
Kharkiv,Ukraine,Kharkiv Metro,1975,2016,30,38.7 km (24.0 mi),231.1 (2022)
Kyiv,Ukraine,Kyiv Metro,1960,2013,52,67.7 km (42.1 mi),496.1 (2022)
Dubai,United Arab Emirates,Dubai Metro,2009,2021,53,89.3 km (55.5 mi),113.6 (2020)
Glasgow,United Kingdom,Glasgow Subway,1896,–,15,10.4 km (6.5 mi),12.7 (2019)
